Memory_Cache_Size(MB)    Throughput(mb/s)    Latency(ms)    Gets        Puts      Succ_gets
--------------------------------------------------------------------------------------------
      256                    93.0              8.1         1945574     2141537      787815                
      512                    104.3             7.3         2541951     2471398      1448321                 
      768                    145.7             5.1         3557172     3486270      2529857                
      1024                   172.3             4.2         4181573     4110247      3356168           
      1280                   192.6             3.6         4616055     4543761      3958251                
      1536                   182.6             3.8         4414549     4344872      3883674     
      1792                   213.8             3.1         5174383     5107606      4656460     
      2048                   210.1             3.1         5086554     5012060      4560423                
