Linux 4.1.5 (vm2-Standard-PC-i440FX-PIIX-1996) 	Monday 26 June 2017 	_x86_64_	(14 CPU)

11:00:26  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:46  IST   11    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:00:46  IST   12    0.00    0.00    0.00    7.80    0.00    0.00    0.00    0.00    0.00   92.20
11:00:46  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:46  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:51  IST  all    0.17    0.03    0.43   33.63    0.00    0.01    0.00    0.00    0.00   65.72
11:00:51  IST    0    0.00    0.00    0.00    7.01    0.00    0.00    0.00    0.00    0.00   92.99
11:00:51  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:51  IST    2    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.60
11:00:51  IST    3    0.20    0.00    0.20   95.41    0.00    0.00    0.00    0.00    0.00    4.19
11:00:51  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:51  IST    5    0.00    0.40    2.82   96.38    0.00    0.00    0.00    0.00    0.00    0.40
11:00:51  IST    6    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:00:51  IST    7    0.00    0.00    0.00   99.80    0.00    0.00    0.00    0.00    0.00    0.20
11:00:51  IST    8    0.40    0.00    0.60   75.15    0.00    0.00    0.00    0.00    0.00   23.85
11:00:51  IST    9    0.20    0.00    2.00   97.80    0.00    0.00    0.00    0.00    0.00    0.00
11:00:51  IST   10    0.60    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.20
11:00:51  IST   11    0.60    0.00    0.00    0.00    0.00    0.20    0.00    0.00    0.00   99.20
11:00:51  IST   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:51  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:51  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:56  IST  all    0.13    0.00    0.24   34.81    0.00    0.00    0.00    0.00    0.00   64.82
11:00:56  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.20    0.00    0.00   99.80
11:00:56  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:56  IST    2    0.00    0.00    0.00    1.81    0.00    0.00    0.00    0.00    0.00   98.19
11:00:56  IST    3    0.00    0.00    0.00   99.80    0.00    0.00    0.00    0.00    0.00    0.20
11:00:56  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:56  IST    5    0.00    0.00    1.40   98.60    0.00    0.00    0.00    0.00    0.00    0.00
11:00:56  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:56  IST    7    0.40    0.00    0.20   98.81    0.00    0.20    0.00    0.00    0.00    0.40
11:00:56  IST    8    0.00    0.00    0.20   89.74    0.00    0.00    0.00    0.00    0.00   10.06
11:00:56  IST    9    0.20    0.00    1.40   98.40    0.00    0.00    0.00    0.00    0.00    0.00
11:00:56  IST   10    0.60    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.20
11:00:56  IST   11    0.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.60
11:00:56  IST   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:56  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:56  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:01  IST  all    0.16    0.01    0.36   35.19    0.00    0.00    0.00    0.00    0.00   64.28
11:01:01  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:01  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:01  IST    2    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.40
11:01:01  IST    3    0.40    0.00    0.00   98.80    0.00    0.00    0.00    0.00    0.00    0.80
11:01:01  IST    4    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:01:01  IST    5    0.00    0.20    1.81   96.18    0.00    0.00    0.00    0.00    0.00    1.81
11:01:01  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:01  IST    7    0.20    0.00    0.20   99.40    0.00    0.00    0.00    0.00    0.00    0.20
11:01:01  IST    8    0.20    0.00    0.80   99.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:01  IST    9    0.20    0.00    1.00   77.20    0.00    0.00    0.00    0.00    0.00   21.60
11:01:01  IST   10    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:01:01  IST   11    0.20    0.00    0.20   22.24    0.00    0.00    0.00    0.00    0.00   77.35
11:01:01  IST   12    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:01:01  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:01:01  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
